,index,sentence,originality
0,0,"ни эти куски сахара, ни эти крупяные бабушек не шли в сопоставление с тем затратой мощей, которые тратились на их отъевший.",0
1,1,110).,1
2,2,лезет туда.,0
3,3,"минуя  подавление  знаменитых мятежей  (ярославский,  муромский,   рыбинский,  арзамасский)  мы  некоторые события знаем только по  одному названию  -- например, колпинский расстрел в июне 1918 г.",1
4,4,так вс?,1
5,5,"и по многим повестям совпадает, что чаще всего такие хозяйственные разумные трактористы -- из `` кулацких '' дочерей.",0
6,6,равно  ничего  не  придумаешь.,1
7,7,ведь третье кряду!,0
8,8,за год  до того  по сю сторону  уральского хребта  я мог наняться разве таскать носилки.,1
9,9,46   песенные   сборники  дмитлага.,1
10,10,"увы,  там не пекли хлеба.",1
11,11,так я в первый раз рассердился на матрену васильевну.,1
12,12,да к окошку этому в худые дни ленинграда  еще  надо пять  суток толпиться в очереди.,1
13,13,а выборы культсоветов!,1
14,14,"фаддей,  размахивая палкой, догонял кого-то,  спешил что-то втолковать.",1
15,15,"да  и русская печь,  как я  пригляделся,  неудобна  для  стряпни:  варка  идет  скрыто  от стряпухи, жар  к чугунку подступает с разных сторон неравномерно.",1
16,16,самоохрана  заключ?нных!,1
17,17,"и  только несчастная  приемная дочь, выросшая  в этих  стенах,  ушла за перегородку и там плакала.",1
18,18,и свои собственные излагались мысли и чувства.,1
19,19,"запереться, потому что матрена не придет.",1
20,20,"это -- концепция, выходящий за колючую провод острова.",0
21,21,"в двери  был прорезан  волчок величиной  с  почтовую открытку, и оттуда  падал непрямой  свет коридора.",1
22,22,"когда же рабочий гон становится продуманной системой, тогда обливание водой на морозе и  выставление  на  пеньки  под комаров  оказывается  уже избыточным, лишней тратой палаческих сил.",1
23,23,"это ч?рным по  белому печаталось, да мы читать еще не умели.",1
24,24,а вынеся наружу -- сталкивают вниз с голгофской горы.,1
25,25,что   мы неосмотрительно используем более позднюю терминологию?,1
26,26,"урки стали как бы внутрилагерной полицией,  лагерными штурмовиками.",1
27,27,"носишь чемоданы или откатываешь тележки, и с каждой тележкой только на пять, на десять секунд убавляется неделю, и башка для того одного и свободна, чтоб размышлять : как будет?",0
28,28,а не хочешь в тюрьма -- загоняй в гибель тутолминых.,0
29,29,горбатого  не  исправишь!,1
30,30,а там документы проверяют.,1
31,31,--  озадачилась она.,1
32,32,и немного погодя:      -- а завтрак вам приспе-ел.,1
33,33,немедленно остригли.,0
34,34,"-- откуда, брат?",1
35,35,"53, д.",1
36,36,и  это вам -- вредители?,1
37,37,самое льготное период.,0
